state,year,minwage,minwageimplementation,paidleave,paidleaveimplementation,ridesharing,ridesharingimplementation,projectlaboragreement,projectlaboragreementimplementation,fairscheduling,fairschedulingimplementation,prevailingwage,prevailingwageimplementation,broadband,broadbandimplementation
Alabama,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2014,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Alabama,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alabama,2016,1,1,1,0,0,0,1,1,1,1,0,0,0,0
Alabama,2017,1,0,1,0,0,0,1,0,1,0,0,0,0,0
Alabama,2018,1,0,1,0,0,0,1,0,1,0,0,0,0,0
Alaska,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2017,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alaska,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Arizona,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2011,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Arizona,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arizona,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arizona,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arizona,2015,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Arizona,2016,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Arizona,2017,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Arizona,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Arkansas,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Arkansas,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arkansas,2013,0,0,0,0,0,0,0,0,0,0,0,0,1,0
